,Post id,Channel id,Sentence,Label_HRV
29,7106,channel1319370046,Оригинал тут:  @wingsofwar,0
30,6824,channel1227152968,"Жители Волновахи рассказывают иностранным журналистам правду о том, что происходило в городе во время боевых действий",0
31,4592,channel1232032465,"😏 Серед російського генералітету немає згоди щодо наступальних операцій, бо бояться загинути на полі бою — очільник ГУР Міноборони Кирило Буданов",0
32,7010,channel1047166746,По неофициальной информации внука Аллы Пугачевой Никиту Преснякова мобилизовали .,0
33,7010,channel1047166746,Его якобы забрали с репетиции из Московского губернского театра,0
34,7010,channel1047166746,Месть за жёсткую позицию Аллы Борисовны?,0
35,7010,channel1047166746,UPD: сам Никита эту информацию опровергает,0
36,6992,channel1109403194,Официальный бот обратной связи армии ДНР.,0
37,6992,channel1109403194,"На него могут писать как местные мирные жители, которые хотят помочь нашим войскам с информацией о местах дислокации ВСУ и т.п., так и украинские военные, которые хотят сдаться или продать иностранное вооружение - @nmdnr_bot По стоимости иностранного вооружения цена договорная.",0
38,6992,channel1109403194,Всё конфиденциально!,0
39,6992,channel1109403194,@NeoficialniyBeZsonoV,0
40,3547,channel1152463236,"🇷🇺🇺🇦 Российские ""Грады"" теперь в Новой Каховке.",0
41,3547,channel1152463236,@vorposte,0
42,7031,channel1137332367,"Минобороны Турции сообщило об уничтожении баз и штабов курдских сил на севере Ирака и Сирии в результате военной операции ""Пендже-Кылыч"".",0
43,7031,channel1137332367,#Сирия  @new_militarycolumnist,0
44,6203,channel1135966410,"В Рас аль-Айне со вчерашнего дня идут ожесточенные бои между протурецкими группировками, которые переросли в большой межплеменной конфликт.",0
45,6203,channel1135966410,"Вооруженный конфликт начался из-за того, что выходцы из племени аль-Акидат (крупнейший племенной союз в центральной и восточной Сирии), входящие в состав группировки ""Ахрар аш-Шаркия"" совершили кровную месть в отношении члена племени аль-Мавали (около 450 тыс. человек, проживают преимущественно на северо-западе Сирии) из группировки ""Дивизия Хамза"".",1
46,6203,channel1135966410,"В город для урегулирования ситуации стягиваются ВС Турции, однако межплеменной конфликт перекинулся также на территорию Африна, где есть выходцы из этих племен.",0
47,6203,channel1135966410,Представители клана аль-Акидат в свою очередь мобилизуют бойцов из союзных племен в провинции Дейр эз-Зор и на левом берегу Евфрата для высылки их в качестве подкрепления в Рас аль-Айн.,0
48,5280,channel1103152034,"🤏 У російських загарбників в Україні ресурси для ведення бойових дій майже вичерпані , вони закінчаться 6 березня.",0
49,5280,channel1103152034,"Нові поставки будуть, але вони дуже ускраднені —  журналіст-розслідувач Bellingcat Христо Грозєв",0
50,4725,channel1768609733,Простим девушку?,0
51,5269,channel1103152034,Работа украинских M777 на фронте.,0
52,5269,channel1103152034,Источник,0
53,5886,channel1217934291,Сообщают о возобновлении конфликта между правительством Эфиопии и повстанцами НФОТ.,0
54,5886,channel1217934291,"По имеющейся информации бои начались в районе к северу от города Кобо, где несколько дней назад было замечено прибытие подкреплений эфиопской армии.",0
55,5886,channel1217934291,"Также правительство страны объявило об уничтожении некого самолёта, который должен был доставить оружие повстанцам в Тыграе.",0
56,5886,channel1217934291,"Напомним что гражданская война в Эфиопии началась в ноябре 2020 года с того что правительство страны объявило досрочные выборы из-за пандемии коронавируса, правящая в Тыграе партия НФОТ отказалась проводить выборы что стало формальным поводом для военной операции правительства.",0
57,5886,channel1217934291,Конфликт правительства с тыграйскими коммунистами (НФОТ) имел старые корни со времён гражданской войны в 90ых.,0
58,5886,channel1217934291,"По итогу начавшаяся стремительными успехами кампания федеральных сил, вылилась в возобновление гражданской войны в большей части страны и взаимным геноцидом народов Оромо и Тыграя с народом Амхара, который подпитывают оружием целый ряд стран .",0
59,5886,channel1217934291,#Эфиопия  @ConflictZone,0
60,6889,channel1332899709,Дорогие подписчики и гости канала!,0
61,6889,channel1332899709,"Кто-то празднует День Победы 8 мая, кто-то 9 мая, а кто-то готовит свой личный День Победы.",0
62,6889,channel1332899709,"Так, на днях в узких кругах политической и силовой околопрезидентской элиты уже дважды состоялись ""смотрины"" возможного преемника.",0
63,6889,channel1332899709,"Поименно участников ""смотрин"" пока не называем, самим интересно как далеко это может зайти.",0
64,6889,channel1332899709,"Секретарь Совбеза Николай Патрушев сватает своего сына Дмитрия, министра сельского хозяйства на высший престол.",0
65,6889,channel1332899709,"Сватает аккуратно, полупрозрачными намеками, обсуждением общих перспектив и обещаниями кого повысить, кому сохранить, а кому и приумножить.",0
66,6889,channel1332899709,"Всё бы ничего,  да вот незадача, президента в известность не поставили, хотя может и правильно, к чему с полутрупом советоваться.",0
67,6889,channel1332899709,"Вопрос в другом, проект ""Димон-2"" навряд ли прокатит, доверия у околопутинских элит к такому рода проектам ноль.",0
68,6889,channel1332899709,"Все прекрасно понимают, что за недалеким Дмитрием Николаевичем, пока жив, будет находится Николай Платонович и никакой status quo в такой комбинации сохранить будет не возможно.",0
69,5149,channel1124038902,"YouTube заблокировал аккаунты шоу Первого канала «Модный приговор», «Давай поженимся» и «Кто хочет стать миллионером?»",0
70,5149,channel1124038902,Эти программы созданы холдингом «Красный квадрат» — крупнейшим в России производителем телевизионного контента.,0
71,5149,channel1124038902,Компанией владеет попавший под санкции бизнесмен Аркадий Ротенберг.,0
72,7370,channel1770008105,"❗️Во Львове выведены из строя 4 электроподстанции, на их восстановление уйдут месяцы, сообщил мэр",0
73,5293,channel1197363285,"На Донбассе продолжаются сильные обстрелы, а РФ принимает поправки в законы для высвобождения средств из бюджета и мобилизации без объявления, - британская разведка По их данным, соответствующие изменения Госдума РФ поддержала в первом чтении.",0
74,5293,channel1197363285,"Изменения позволят также России избежать признания того, что она участвует в войне, или ее неспособности победить меньшую по численности и количеству вооружения украинскую армию.",0
75,5293,channel1197363285,🇺🇦  Украина Сейчас,0
76,3808,channel1166122496,"Бивалютная зона официально вводится с 23 мая в Херсонской области, рубль будет ходить наряду с гривной, заявил глава администрации.",0
77,3808,channel1166122496,»новости,0
78,7143,channel1429411392,⚡️ Не прокатило Бывшего начальника исправительной колонии № 15 в Иркутской области Андрея Верещака арестовали за получение взятки в 1 млн. рублей.,0
79,7143,channel1429411392,Об этом сообщили в региональном СК.,0
80,7143,channel1429411392,"По данным следствия, Верещак взял деньги от подчиненного,чтобы последнего не увольняли за грубое нарушение трудовой дисциплины.",0
81,7143,channel1429411392,Это уголовное дело является вторым в отношении экс-начальника ИК-15.,0
82,7143,channel1429411392,"Первое – о превышении должностных полномочии, совершенном с причинением тяжких последствий было возбуждено в сентябре 2021 года.",0
83,7143,channel1429411392,"Предварительно, Верещак за счет средств федерального бюджета, выделенных ИК-15, оплатил проведение обследования не принадлежащего учреждению лесного участка – на 700 тыс рублей.",0
84,5992,channel1307886524,"Шойгу вручил медаль ""Золотая звезда"" главе концерна ВКО ""Алмаз-Антей"" Яну Новикову за создание современных образцов вооружения, военной и спецтехники",0
85,5513,channel1109403194,"💥Без связи нет управления, а без управления нет победы💥 20 октября в Вооруженных Силах Российской Федерации отмечаются День военного связиста и 103 года со дня образования войск связи.",0
86,5513,channel1109403194,"Одним из эффективных передовых подразделений, являются военнослужащие 674 отдельного гвардейского батальона связи Воздушно-десантных войск!!!!",0
87,5513,channel1109403194,@ZOV_SILA_RF,0
88,6867,channel1315735637,⚡️ ⚡️ ⚡️ ⚡️ ⚡️ Появились первые кадры с места происшествия.,0
89,5730,channel1378437829,Вступительное слово Президента Российской Федерации Владимира Путина на заседании Совета Безопасности @mod_russia,0
90,6719,channel1242259852,​​ #Раскладка Азов мягко начал обвинять власть в сливе и поражении.,0
91,6719,channel1242259852,"Люди в соцсетях начали писать, что Банковой, нацбат Азов из Мариуполя не особо нужен живым.",0
92,6719,channel1242259852,"Также все недовольны ахметовским мэром трусом Бойченко, который сбежал из Мариуполя, а сейчас пиарится в тылу, раздавая комментарии.",0
93,6719,channel1242259852,"Чем ближе завершение кейса Азовстали, тем больше будет назревать информационная бомба для Банковой.",0
94,6719,channel1242259852,"Наш источник дал инсайдерский расклад, почему Банковой и лично Зеленскому, герои Азовстали не нужны в Киеве.",0
95,6719,channel1242259852,"- самый важный фактор, политический.",0
96,6719,channel1242259852,Они станут большим противовесом самому Зеленскому.,0
97,6719,channel1242259852,"Да они смогут создать сильную партию, да они смогут даже пойти в Президенты, да они смогут стать потом главными критиками созданного «героического Зе-имиджа».",0
98,6719,channel1242259852,"Поэтому их лучше «похоронить», а потом воздвигнуть памятник в Киеве и носить туда цветы, пиарясь ежегодно в этот день, как ранее хайпили на «небесной сотни».",0
99,7445,channel1479946125,"🇹🇷🤝🇷🇺 О том как страна не имеющая достаточно газа даже для себя, может стать крупнейшим газовым хабом Европы Уже в июле мы просчитали, что Турция вскоре превратится в главный газовый хаб Европейского континента.",0
100,7445,channel1479946125,"22 июля вышел пост , в котором мы писали как способность вести диалог и с Украиной и с РФ превращает Турцию в одного их основных бенефициаров этой войны.",0
101,7445,channel1479946125,"Вчера Эрдоган и Путин дали указания своим правительствам в ""турбо режиме"" проработать создание на территории Турции газового хаба Европы.",0
102,7445,channel1479946125,Условия подходящие:,0
103,7445,channel1479946125,🔹 уничтожить подводные газопроводы в Чёрном море гораздо сложнее - большая глубина + конвенция Монтрё;,0
104,7445,channel1479946125,"🔹в отличии от Украины и Германии власти Турция стремятся заработать, самостоятельны и держат слово;",0
105,7445,channel1479946125,🔹подобный газовый хаб в южном газовом коридоре составит жёсткую конкуренцию газу из Израиля и Катара.,0
106,7445,channel1479946125,"Один из подписчиков недавно написал нам: ""Турция и РФ договариваются о создании газового хаба для поставок газа в ЕС, а ведь этой страной могли стать мы.",0
107,7445,channel1479946125,"Турция и РФ договариваются о создании газового хаба для поставок газа в ЕС, а ведь этой страной могли стать мы.",0
108,7445,channel1479946125,"Помнится что в далеком 2004 году, в преддверии выборов и оранжевой революции, Бойко будучи главой правления НАК «Нафтогаз Украины» подписал меморандум о гарантированном транзите, в обмен на газ по 40 долларов, плюс бонусом для нас РФ гарантировала нам транзит газа из Туркменистана где Украина его покупала по 25 баксов и сама экспортировала в ЕС.",0
109,7445,channel1479946125,Но пришёл Ющенко вместе с Тимошенко и все перевернули.,0
110,7445,channel1479946125,"Сначала Ивченко поехал на переговоры в Газпром с переводчиком, потом забыли встретить делегацию Туркменистана в аэропорту Борисполь, потом Алчевск, газовая война.",0
111,7445,channel1479946125,"Теперь у нас газ по 40 000 тис грн для промышленности, в следующем году уверен поднимут цену для домохозяйств, вполне возможно, что вообще нанесут удары по ПСГ инфраструктуре и остановят транзит"".",0
112,7445,channel1479946125,"Всё так. Украина не только могла, но и ДОЛЖНА была быть на месте сегодняшней Турции и зарабатывать миллиарды на логистике ресурсов РФ и Туркменистана в Европу.",0
113,7445,channel1479946125,"Но для этого наши правители должны были защищать интересы Украины, а не США и Великобритании и поощрять схемы вроде Роттердам+ для личного заработка.",0
114,7445,channel1479946125,"Обратите внимание, у русских с Турцией КУЧА проблем: Сирия (в особенности Идлиб), Армения, тюркские инициативы Турции в средней Азии... Эрдоган фактически ВОЮЕТ с двумя союзниками Москвы, но Путин имеет возможность договариваться с ним о взаимовыгодном сотрудничестве.",0
115,7445,channel1479946125,"Всё потому, что Эрдоган самостоятелен, может позволить себе договариваться со ВСЕМИ, работает на Турцию и держит слово.",0
116,7445,channel1479946125,Это вам не схемы Зеленского-Ермака по-мелкому наебать...,0
117,6916,channel1071365669,Пошла вторая волна блокировок СМИ в рамках военной цензуры.,0
118,6916,channel1071365669,"Теперь под угрозой уголовных дел Роскомнадзор требует удалить всё содержимое сайта, а не конкретные материалы.",0
119,6916,channel1071365669,Использует при этом одинаковую формулировку:,0
120,6916,channel1071365669,""" Размещена заведомо ложная общественно значимая информация, которая создает угрозу причинения вреда жизни и (или) здоровью граждан, угрозу массового нарушения общественного порядка и (или) общественной безопасности.",0
121,6916,channel1071365669,"В частности, информационные материалы о якобы нападении Россией на территорию Украины.",0
122,6916,channel1071365669,"Вместе с этим, по данным официальных источников Российской Федерации, в том числе Минобороны России указанная информация не соответствует действительности, формирует у людей панические настроения, создает предпосылки к массовым нарушениям общественного порядка и общественной безопасности "" .",0
123,6916,channel1071365669,"Уведомление фактически утверждает о распространении фейковой информации «об использовании Вооруженных Сил РФ», что со вчерашнего дня образует состав преступления (статья 207.3 УК РФ).",0
124,6916,channel1071365669,"В случае продолжения деятельности журналисты рискуют быть привлеченными к уголовной ответственности, причем сразу по части 2 статьи 207.3 УК, поскольку любое СМИ - это группа лиц.",0
125,6916,channel1071365669,"Преступление это тяжкое, наказание - от 5 до 10 лет лишения свободы.",0
126,4296,channel1280273449,🔴 Жодних відповідей на дзвінки від рашистів Про це попередив голова Чернігівської ОДА В'ячеслав Чаус жителів області.,0
127,4296,channel1280273449,Окупати вдають з себе українських військових і просять:,0
128,4296,channel1280273449,❌ допомогти навести понтон,0
129,4296,channel1280273449,❌ дати координати,0
130,4296,channel1280273449,❌ допомогти технікою,0
131,4296,channel1280273449,❌ розповісти про стан доріг Не потрібно допомагати ворогу.,0
132,4296,channel1280273449,"Крім того, він нагадав, що усі виїзди з Чернігова заміновані.",0
133,4296,channel1280273449,"Щоб не наражати себе на небезпеку, залишайтеся в укриттях.",0
134,4296,channel1280273449,«Шановні друзі.,0
135,4296,channel1280273449,Для особливо недоганяючих.,0
136,4296,channel1280273449,Всі виїзди з міста заміновані.,0
137,4296,channel1280273449,"«Заміновані» – це значить, що там міни, і можна на них підірватись».",0
138,4296,channel1280273449,В області також розробили  систему мотивації для захисників міста:,0
139,4296,channel1280273449,150 000 грн - за спалений БТР,0
140,4296,channel1280273449,200 000 грн - за БМП,0
141,4296,channel1280273449,250 000 грн - за танк,0
142,4296,channel1280273449,300$ - за кожного вбитого або полоненого російського окупанта.,0
143,4296,channel1280273449,#stoprussia,0
144,6364,channel1135021433,⚡️ВИДЕО⚡️5 украинских пограничников перешли в РФ⚡️,0
145,6364,channel1135021433,"Пять сотрудников погранслужбы Украины, включая начальника отдаляем луганского погранотряда - добровольно сложили оружие и перешли на сторону России.",0
146,6364,channel1135021433,О причина они рассказали следующее:,0
147,6364,channel1135021433,"«Три дня сидели под обстрелами, получая угрозы от украинских боевиков-националистов, пробирались к российским коллегам тайком из Старобельска».",0
148,6364,channel1135021433,Перешедшим на сторону РФ украинским пограничникам наши спецслужбы гарантировали полную безопасность.,0
149,6364,channel1135021433,"@wargonzo  *наш проект существует исключительно на средства подписчиков, карта для помощи: 5536913993799374",0
150,6546,channel1463721328,"Кілька днів тому звернувся до учасників глобального форуму SALT, який відбувся у Нью-Йорку.",0
151,6546,channel1463721328,"Захід охоплює сфери фінансів, технологій і геополітики.",0
152,6546,channel1463721328,"Закликав тих, хто ще не обрав для себе Україну, зробити цей вибір.",0
153,6546,channel1463721328,Це вибір на користь свободи.,0
154,6546,channel1463721328,Це вибір на користь переможця.,0
155,6546,channel1463721328,Це вибір на користь можливостей для розвитку компаній і фондів.,0
156,6546,channel1463721328,"Ми маємо повернути свободу й безпеку людям на всій території України, куди Росія принесла терор і де вона знищує нормальне життя.",0
157,6546,channel1463721328,І ми можемо це зробити.,0
158,6546,channel1463721328,"Можемо разом з нашими партнерами – з усіма, хто допомагає Україні.",0
159,6546,channel1463721328,——,0
160,6546,channel1463721328,"A few days ago I addressed the participants of the SALT global forum, which took place in New York.",0
161,6546,channel1463721328,"The event covers the fields of finance, technology and geopolitics.",0
162,6546,channel1463721328,I called on those who have not yet chosen Ukraine for themselves to make this choice.,0
163,6546,channel1463721328,It is a choice in favor of freedom.,0
164,6546,channel1463721328,It is a choice in favor of the winner.,0
165,6546,channel1463721328,It is a choice in favor of opportunities for the development of companies and funds.,0
166,6546,channel1463721328,We must return freedom and security to people throughout the territory of Ukraine where Russia has brought terror and where it destroys normal life.,0
167,6546,channel1463721328,And we can do it.,0
168,6546,channel1463721328,We can do it together with our partners – with everyone who helps Ukraine.,0
169,4548,channel1232032465,"У п'ятницю Рада ООН з прав людини переважною більшістю голосів проголосувала за резолюцію, яка засуджує порушення прав людини під час воєнних дій Росії в Україні та створює комісію з їхнього розслідування",0
170,4869,channel1231519967,Питерский СОБР выломал дверь мужчине подозреваемому в распространении «фейков об армии».,0
171,4869,channel1231519967,Видео выламывания двери выложила в сеть сама полиция.,0
172,4869,channel1231519967,"Кстати, т.н. «фейки об армии» это в чистом виде «fälschungen über die Armee» - формулировка гитлеровского Гестапо.",0
173,4869,channel1231519967,"Начиная с 1939 года именно по этому обвинению, в городах Германии хватали и  «изолировали» всех, кто осмеливался выступать против войны или сомневался в гении фюрера.",0
174,4869,channel1231519967,"Тактика устрашающего выламывания дверей - тоже не оригинальное «СОБРовское», а  чисто гестаповское изобретение.",0
175,4869,channel1231519967,Путинизм даже в мелочах копирует гитлеризм.,0
176,4869,channel1231519967,Ничего удивительного.,0
177,4869,channel1231519967,Чистейшая конвергенция.,0
178,4869,channel1231519967,Невзоров @nevzorovtv,0
179,5313,channel1197363285,Россми показали кадры боев в Херсоне Задействованы БТР и БМД.,0
180,5313,channel1197363285,"По легенде, это «контртеррористическая операция».",0
181,5313,channel1197363285,Что же это на самом деле - наверняка узнаем в самое ближайшее время.,0
182,5313,channel1197363285,🇺🇦 Украина Сейчас,0
183,6893,channel1332899709,Дорогие подписчики и гости канала!,0
184,6893,channel1332899709,"Президент России Владимир Путин проводит дни не только в мыслях о войне и принимая  участие в различных совещаниях и консультациях, но и находит время для развлечений.",0
185,6893,channel1332899709,Правда развлечения у президента весьма специфические.,0
186,6893,channel1332899709,"Так, в последнее время Путин всё чаще обсуждает с близкими условия развода для Дмитрия Медведева и его, пока ещё жены, Светланы.",0
187,6893,channel1332899709,"Именно Светлана Владимировна обратилась к президенту, спросив у него разрешение на развод с Дмитрием Анатольевичем.",0
188,6893,channel1332899709,"После развода звездной четы Алишера Усманова и Ирины Винер, где Путин по просьбе Алины Кабаевой выступил ""третейским судьёй"", президент развлекается, принимая аналогичное участие в разводе других пар. Помимо четы Медведевых Путин занимается и проблемой сохранения брака своего пресс-секретаря Дмитрия Пескова с Татьяной Навкой.",0
189,6893,channel1332899709,"В обоих случаях мужья категорически против развода, а жены настаивают на своем решении разойтись.",0
190,6893,channel1332899709,"В случае Медведева, накануне Путин пошутил и сказал передать Дмитрию Анатольевичу, что в случае его согласия отпустить Светлану, для него открываются перспективы получить ""жирные"" бюджетные потоки и яркие политические перспективы.",0
191,6893,channel1332899709,"Послание было сделано исключительно  в шутку и с целью поиздеваться над Медведевым, проверив его реакцию на вброс.",0
192,6893,channel1332899709,"Медведев мало того, что принял предложение президента за чистую монету, так и распустил обнадеживающие  слухи среди своего жидкого окружения о скором возврате в ""большой бизнес и большую политику"".",0
193,6893,channel1332899709,"Путину доложили о радостном движении в окружении Медведева,  что очень позабавило президента.",0
194,6893,channel1332899709,"В случае Пескова и Навки, то здесь Путин намерен настаивать на сохранении брака, по крайней мере до тех пор пока Песков остаётся пресс-секретарем, то есть минимум до конца осени.",0
195,6893,channel1332899709,"Обсуждая со своим другом Юрием Ковальчуком замену усопшему Владимиру Жириновскому, в качестве кандидата в президенты от гей-лобби на предстоящих выборах, решено остановиться на кандидатуре известного шпагоглотателя, или, если угодно, писателя Захара Прилепина.",0
196,6893,channel1332899709,"С Прилепиным никто конечно не консультировался, но и смысл не в этом.",0
197,6893,channel1332899709,"Кандидатура Захарки абсолютно не проходная, а потому без риска можно, опять таки в качестве издевательства, сделать кандидатом в президенты ""поборника нетрадиционных ценностей"".",0
198,6893,channel1332899709,"Разумеется развлечения у президента довольно странные,  но всё лучше чем с ""шаманами"" животных мучать.",0
199,7497,channel1246399946,✔️На фоне ухода из России западных конкурентов активизируются любители быстрой наживы на гражданах.,0
200,7497,channel1246399946,Параллельный импорт и послабления для бизнеса могут открыть окна возможностей для контрабандистов и любителей нелегальной продукции.,0
201,7497,channel1246399946,"Уже сегодня нарушителей немало и важно, чтобы их не стало еще больше.",0
202,7497,channel1246399946,"Для государства в условиях СВО крайне важно не снимать контроль за рынками через маркировку: помимо поступлений в бюджеты, каждый выявленный нарушитель это рубль в карман его добросовестного конкурента (а возможно, и чья-то спасенная жизнь).",0
203,5020,channel1254661214,"Киллер, застреливший армянского бизнесмена Оганеса Камаряна в центре Москвы, арестован.",0
204,5020,channel1254661214,Суд отправил 24-летнего обвиняемого в убийстве и незаконном обороте оружия в СИЗО до 3 августа.,0
205,5623,channel1111348665,"Словакия поставила на Украину первые четыре 155-мм САУ Zuzana, - министерство обороны Словакии",0
206,4162,channel1429590454,"Огненные, ослепительные вспышки, зарево, грохот от канонады, – это видео снято в Мариуполе.",0
207,5365,channel1105313000,"⚡️Президент Германии Штайнмайер заявил , что страна будет поставлять оружие Украине Берлин будет поставлять оружие в зону военных действий, несмотря на то, что это противоречит философии безопасности, которую Германия исповедовала до недавнего времени.",0
208,5365,channel1105313000,"С такой россией, после того как ее военные преступления увидел свет, не может быть возвращение к нормальным отношениям.",0
209,5365,channel1105313000,Об этом Штайнмайер заявил на совместной пресс-конференции с президентом Польши Анджеем Дудой в Варшаве.,0
210,5365,channel1105313000,"""Мы солидарны с Украиной"", - подчеркнул Штайнмайер.",0
211,7151,channel1647639783,"Глава дырявой Николаевской ОГА Виталий Ким почему-то решил не записывать видео о том, что Николаев уже третьи сутки живёт без воды, и горожанам приходится набирать воду из реки в канистры.",0
212,7151,channel1647639783,Это называется николаевский водопровод имени товарища Кима.,0
